IMPERIAL_20_solar,H_ALLEN_20_solar,PALOVRD2_20_solar,EMERY_20_solar
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,182.7,94.3
7.7,0,168.3,196.2
7.9,0,103.4,330.9
5.5,0,0,306.4
15,0,186.4,263.6
9.1,0,0,201.5
16.6,0,82.3,199
16.6,196.3,136.9,198.7
12.9,120.3,0,203.7
0,36.6,0,16.1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,96
0,0,0,303.7
0,0,0,157.3
7.8,0,0,0
7.9,0,0,0
5.4,0,0,98.7
7.3,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
43,95.5,83.2,99.2
39.6,31.7,79.4,21.8
86.8,47.7,48.1,0
68.8,7.7,182,0
83.9,0,173.9,199.9
72.4,91.1,173.7,142.8
61.9,384.3,56.5,159.8
51.9,657.8,0,38.4
17.4,238,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,891.5,298.8
130.3,1001.1,2254,296.6
175.1,1100,2346,299.8
167.6,991.2,2180.4,302.4
75.8,433.2,2178.1,240
59.1,405.5,2413.7,437.1
59.1,404.5,2430,546.6
54.7,147.8,2413.8,581.4
59.3,96.1,2582.8,600
59,62.3,2349.2,460
0.3,0,1083.1,156.7
0,0,360.4,0
0,0,9.9,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,480.2,195.5
16.3,92.5,1283.7,498.5
42.6,399.1,1589.7,504.1
45.7,395.8,2167.6,507.9
46,191.9,1884.2,509.3
60.4,286.4,1376.2,499.9
80.6,57.7,1063.2,299.8
